selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
291,279242,04192024_6f_a1_r9,4,1242,0.056811579169273561
292,58285,04032024_6f_a2_r5,2,285,0.12227996478197624
294,115241,04162024_6f_a1_r1,3,1241,0.063317081630335559
295,68079,04032024_6f_a2_r5,7,79,0.085284276747978519
296,68601,04032024_6f_a2_r5,7,601,0.093203762843700827
297,224225,04192024_6f_a1_r6,4,225,0.14327049700468347
298,224044,04192024_6f_a1_r6,4,44,0.10872709732371301
301,61937,04032024_6f_a2_r5,3,1937,0.094240800965112517
302,192218,04192024_6f_a1_r2,15,218,0.083789886906003988
304,229571,04192024_6f_a1_r6,6,1571,0.12557142102788846
305,230018,04192024_6f_a1_r6,7,18,0.11658850796886233
306,170432,04192024_6f_a1_r2,4,432,0.068058283640043876
308,273014,04192024_6f_a1_r9,1,1014,0.071700349560755508
310,62073,04032024_6f_a2_r5,4,73,0.10566127468334376
311,280978,04192024_6f_a1_r9,5,978,0.077268013357184459
312,172417,04192024_6f_a1_r2,5,417,0.098617678523966218
315,114287,04162024_6f_a1_r1,3,287,0.055822138325451111
317,108950,04162024_6f_a1_r1,0,950,0.051590558556077949
318,174819,04192024_6f_a1_r2,6,819,0.090081809224421175
319,64540,04032024_6f_a2_r5,5,540,0.075605653276280604
320,275910,04192024_6f_a1_r9,2,1910,0.071761134508617666
322,65900,04032024_6f_a2_r5,5,1900,0.095337417210725237
323,56362,04032024_6f_a2_r5,1,362,0.10913742311243052
325,84306,04032024_6f_a2_r5,15,306,0.09036565731310027
326,183001,04192024_6f_a1_r2,10,1001,0.095317244892221084
327,72460,04032024_6f_a2_r5,9,460,0.11134825925503361
328,110189,04162024_6f_a1_r1,1,189,0.047030699371113448
329,166806,04192024_6f_a1_r2,2,806,0.049371834557698481
330,175469,04192024_6f_a1_r2,6,1469,0.070425476609468157
331,170018,04192024_6f_a1_r2,4,18,0.09483053027521611
332,166359,04192024_6f_a1_r2,2,359,0.076560478883325525
333,75402,04032024_6f_a2_r5,10,1402,0.10116574665949209
334,175394,04192024_6f_a1_r2,6,1394,0.091283925096854554
335,164850,04192024_6f_a1_r2,1,850,0.096780442715527493
336,176100,04192024_6f_a1_r2,7,100,0.097637485888510137
337,282288,04192024_6f_a1_r9,6,288,0.085152248798980493
338,284069,04192024_6f_a1_r9,7,69,0.083731554567556321
340,172035,04192024_6f_a1_r2,5,35,0.095279144263677118
343,108004,04162024_6f_a1_r1,0,4,0.091511832822094269
345,68919,04032024_6f_a2_r5,7,919,0.097992335535685718
347,176947,04192024_6f_a1_r2,7,947,0.094092567586885972
348,84056,04032024_6f_a2_r5,15,56,0.075710005195927105
349,118951,04162024_6f_a1_r1,5,951,0.086683677999041461
350,64059,04032024_6f_a2_r5,5,59,0.11962924738102587
352,72566,04032024_6f_a2_r5,9,566,0.10293993566639678
353,64415,04032024_6f_a2_r5,5,415,0.0962824341629403
354,82376,04032024_6f_a2_r5,14,376,0.084255235767121073
355,229692,04192024_6f_a1_r6,6,1692,0.10366182604791399
356,110076,04162024_6f_a1_r1,1,76,0.07237188431561474
357,166723,04192024_6f_a1_r2,2,723,0.065465702632025807
358,224285,04192024_6f_a1_r6,4,285,0.11455000798943082
359,231173,04192024_6f_a1_r6,7,1173,0.10197366544480209
360,168078,04192024_6f_a1_r2,3,78,0.064369828308852503
361,186789,04192024_6f_a1_r2,12,789,0.11554505915569577
362,108116,04162024_6f_a1_r1,0,116,0.067043509040239091
363,68590,04032024_6f_a2_r5,7,590,0.10461090614938388
365,168656,04192024_6f_a1_r2,3,656,0.098326999162705084
366,280531,04192024_6f_a1_r9,5,531,0.084442029647018843
368,230657,04192024_6f_a1_r6,7,657,0.11097093057136903
369,276348,04192024_6f_a1_r9,3,348,0.083007155637703292
370,226427,04192024_6f_a1_r6,5,427,0.14585872194614247
371,58537,04032024_6f_a2_r5,2,537,0.10959399910108962
373,164895,04192024_6f_a1_r2,1,895,0.090349823408399685
374,82856,04032024_6f_a2_r5,14,856,0.1122232822097559
375,179954,04192024_6f_a1_r2,8,1954,0.087347056734861775
376,72192,04032024_6f_a2_r5,9,192,0.11332410354424495
378,84094,04032024_6f_a2_r5,15,94,0.079039732704026477
379,286887,04192024_6f_a1_r9,8,887,0.084469272090418351
381,173026,04192024_6f_a1_r2,5,1026,0.08183787391239486
382,68149,04032024_6f_a2_r5,7,149,0.10274105362951372
383,275218,04192024_6f_a1_r9,2,1218,0.084556374144478058
384,176692,04192024_6f_a1_r2,7,692,0.1159963286820412
385,117394,04162024_6f_a1_r1,4,1394,0.042930824147529634
386,172781,04192024_6f_a1_r2,5,781,0.097875500147081657
388,168146,04192024_6f_a1_r2,3,146,0.080433827514835868
389,178191,04192024_6f_a1_r2,8,191,0.090112071692596538
390,173739,04192024_6f_a1_r2,5,1739,0.074097806395208299
392,272077,04192024_6f_a1_r9,1,77,0.060341037758916784
394,114773,04162024_6f_a1_r1,3,773,0.096980819789662873
397,72268,04032024_6f_a2_r5,9,268,0.081229759080743369
399,174059,04192024_6f_a1_r2,6,59,0.079225344385137758
401,182106,04192024_6f_a1_r2,10,106,0.091153359139561962
402,170137,04192024_6f_a1_r2,4,137,0.092747744295518644
404,114998,04162024_6f_a1_r1,3,998,0.075591598405990321
405,169524,04192024_6f_a1_r2,3,1524,0.11473131612926814
406,112738,04162024_6f_a1_r1,2,738,0.066895281234067405
407,169902,04192024_6f_a1_r2,3,1902,0.09082923978676026
408,280235,04192024_6f_a1_r9,5,235,0.083804494852958017
411,73528,04032024_6f_a2_r5,9,1528,0.1035064087234554
412,272124,04192024_6f_a1_r9,1,124,0.095723669954404692
413,113148,04162024_6f_a1_r1,2,1148,0.10351821537701694
414,178733,04192024_6f_a1_r2,8,733,0.086496819653612875
417,232477,04192024_6f_a1_r6,8,477,0.12105027698405733
418,88589,04032024_6f_a2_r5,17,589,0.078098086747258114
