label,count,+1,0,-1,entropy,purity
AVLP062_R,2,2,0,0,-0.000000,1.000000
AVLP063_R,2,2,0,0,-0.000000,1.000000
AVLP064_R,3,3,0,0,-0.000000,1.000000
AVLP065_R,2,2,0,0,-0.000000,1.000000
AVLP066_R,2,2,0,0,-0.000000,1.000000
AVLP067_R,1,1,0,0,-0.000000,1.000000
AVLP068_R,2,2,0,0,-0.000000,1.000000
AVLP069_a_R,3,3,0,0,-0.000000,1.000000
AVLP069_b_R,4,4,0,0,-0.000000,1.000000
AVLP069_c_R,2,2,0,0,-0.000000,1.000000
AVLP070_R,1,1,0,0,-0.000000,1.000000
AVLP071_R,2,2,0,0,-0.000000,1.000000
AVLP072_a_R,2,2,0,0,-0.000000,1.000000
AVLP072_b_R,2,2,0,0,-0.000000,1.000000
AVLP073_R,1,1,0,0,-0.000000,1.000000
AVLP074_R,1,1,0,0,-0.000000,1.000000
AVLP075(ADL25)_L,1,1,0,0,-0.000000,1.000000
AVLP075_R,1,1,0,0,-0.000000,1.000000
AVLP076_R,1,1,0,0,-0.000000,1.000000
AVLP077_R,1,1,0,0,-0.000000,1.000000
AVLP078_R,1,1,0,0,-0.000000,1.000000
AVLP079_R,1,1,0,0,-0.000000,1.000000
AVLP080_R,1,1,0,0,-0.000000,1.000000
AVLP081_R,1,1,0,0,-0.000000,1.000000
AVLP082_R,1,1,0,0,-0.000000,1.000000
AVLP083_R,1,1,0,0,-0.000000,1.000000
AVLP084_R,1,1,0,0,-0.000000,1.000000
AVLP085_R,1,1,0,0,-0.000000,1.000000
AVLP086_R,1,1,0,0,-0.000000,1.000000
AVLP087_R,1,1,0,0,-0.000000,1.000000
AVLP088_R,1,1,0,0,-0.000000,1.000000
AVLP089_R,2,2,0,0,-0.000000,1.000000
AVLP090_R,1,1,0,0,-0.000000,1.000000
AVLP091_R,1,1,0,0,-0.000000,1.000000
AVLP092_R,2,2,0,0,-0.000000,1.000000
AVLP093_R,1,1,0,0,-0.000000,1.000000
AVLP094_R,1,1,0,0,-0.000000,1.000000
AVLP095_R,1,1,0,0,-0.000000,1.000000
AVLP096_R,2,2,0,0,-0.000000,1.000000
AVLP097_R,1,1,0,0,-0.000000,1.000000
AVLP098_R,1,1,0,0,-0.000000,1.000000
AVLP099_R,2,2,0,0,-0.000000,1.000000
AVLP100_R,1,1,0,0,-0.000000,1.000000
AVLP101_R,1,1,0,0,-0.000000,1.000000
AVLP102_R,1,1,0,0,-0.000000,1.000000
AVLP103_R,4,4,0,0,-0.000000,1.000000
AVLP104_R,6,6,0,0,-0.000000,1.000000
AVLP105_R,2,2,0,0,-0.000000,1.000000
AVLP106_R,1,1,0,0,-0.000000,1.000000
AVLP107_R,3,3,0,0,-0.000000,1.000000
AVLP108_R,1,1,0,0,-0.000000,1.000000
AVLP109_R,2,2,0,0,-0.000000,1.000000
AVLP110_R,4,4,0,0,-0.000000,1.000000
AVLP111_R,7,7,0,0,-0.000000,1.000000
AVLP112_R,3,3,0,0,-0.000000,1.000000
AVLP113_R,2,2,0,0,-0.000000,1.000000
AVLP114_R,2,2,0,0,-0.000000,1.000000
AVLP115_R,5,5,0,0,-0.000000,1.000000
AVLP116_R,2,2,0,0,-0.000000,1.000000
AVLP117_R,5,5,0,0,-0.000000,1.000000
AVLP118_R,1,1,0,0,-0.000000,1.000000
AVLP119_R,1,1,0,0,-0.000000,1.000000
AVLP120_R,3,3,0,0,-0.000000,1.000000
AVLP121_R,2,2,0,0,-0.000000,1.000000
